crop_code,Main_use_aggregated,Detailed_use_aggregated,Used_part_aggregated
3795,environmental,ornamental/turf,entire plant
3796,animal food (feed),"minerals, vitamins",entire plant
3798,animal food (feed),"minerals, protein, vitamins",entire plant
3805,animal food (feed),"minerals, protein, vitamins",entire plant
38122,"animal food (feed), environmental, food & beverage, fuels, material, medicinal","agroforestry, digestive system applications, erosion control, fibres, fuelwood, genitourinary system applications, latex/rubber, manure/fertilizer, minerals, ornamental/turf, respiratory applications, shade & shelter, skin applications, vitamins","bark, entire plant, fruits, leaves, roots, stems"
3813,animal food (feed),"minerals, vitamins",entire plant
38133,"food & beverage, material, medicinal","fibres, minerals, Unspecified, vitamins","flowers, leaves, stems, Unspecified"
3814,"animal food (feed), food & beverage","minerals, vitamins","entire plant, seeds"
3820,"environmental, material","ornamental/turf, timber wood","bark, entire plant"
38279,"environmental, fuels, material, medicinal","agroforestry, charcoal, digestive system applications, dye/tannin, fuelwood, honey, ornamental/turf, timber wood, Unspecified, windbreak","bark, entire plant, flowers, roots, stems"
38291,material,Unspecified,flowers
3837,"animal food (feed), environmental, fuels, material, medicinal","charcoal, digestive system applications, dye/tannin, fuelwood, honey, minerals, ornamental/turf, sensory applications, shade & shelter, vitamins","bark, entire plant, flowers, leaves, roots, stems"
3844,material,lipids/oil & fats,seeds
3848,"animal food (feed), environmental, food & beverage, food additive, fuels, material","condiment/seasoning, lipids/oil & fats, minerals, petroleum substitutes/alcohol, protein, soil improvers, vitamins","entire plant, leaves, seeds"
3861,"animal food (feed), food & beverage","minerals, vitamins","entire plant, roots"
3867,"animal food (feed), food & beverage","minerals, vitamins","bark, flowers, leaves"
3877,food & beverage,"minerals, vitamins","flowers, leaves"
3878,food & beverage,"minerals, vitamins","bark, flowers, leaves"
3881,"food & beverage, fuels, material","alcohol, essential oils, minerals, petroleum substitutes/alcohol, vitamins","bulbs, entire plant, roots"
3896,"environmental, food & beverage, fuels, material, medicinal, non-vertebrate food","agroforestry, charcoal, digestive system applications, dye/tannin, erosion control, fuelwood, gums/resins, minerals, mulch, muscular/skeletal applications, ornamental/turf, sensory applications, shade & shelter, skin applications, timber wood, vitamins","bark, entire plant, fruits, leaves, roots, stems"
390,"animal food (feed), environmental, food & beverage, fuels","non-wood fuel, ornamental/turf, protein, vitamins","bark, entire plant, leaves, seeds"
391,"food & beverage, material","fibres, minerals, protein, vitamins","bark, leaves, seeds"
3912,animal food (feed),"minerals, vitamins",entire plant
3917,"animal food (feed), environmental","erosion control, minerals, vitamins",entire plant
3922,animal food (feed),"minerals, vitamins",entire plant
3930,animal food (feed),"minerals, vitamins",entire plant
3931,animal food (feed),"minerals, vitamins",entire plant
3944,"environmental, food additive, medicinal","condiment/seasoning, digestive system applications, ornamental/turf, skin applications",entire plant
3957,"food & beverage, fuels, material, medicinal","dye/tannin, fuelwood, gums/resins, lipids/oil & fats, minerals, Unspecified, vitamins","bark, exudates, seeds, stems"
3961,"animal food (feed), environmental","erosion control, minerals, vitamins",entire plant
3962,"environmental, fuels, material","fuelwood, ornamental/turf, shade & shelter, timber wood","bark, entire plant"
3982,"animal food (feed), environmental, fuels, material","agroforestry, charcoal, fuelwood, gums/resins, living fence, minerals, ornamental/turf, shade & shelter, timber wood, vitamins","bark, entire plant, leaves, stems"
3986,"animal food (feed), environmental, fuels, material, medicinal, non-vertebrate food, poison","charcoal, digestive system applications, dye/tannin, endocrine system applications, erosion control, fibres, fuelwood, fungi, gums/resins, insects, lipids/oil & fats, minerals, non-wood fuel, ornamental/turf, vitamins","bark, entire plant, exudates, flowers, leaves, seeds, stems"
3988,"environmental, food & beverage","ornamental/turf, protein, starch","buds, entire plant, seeds"
3989,"environmental, food additive, fuels, material, medicinal","agroforestry, emulsifier, fuelwood, lipids/oil & fats, non-wood fuel, Unspecified","bark, entire plant, seeds"
